问题,答案,选项
1 、下列有关使用漏电保护器的说法，哪种正确?,A,A、漏电保护器既可用来保护人身安全，还可用来对低压系统或设备的对地绝缘状况起到监督作用。,B、漏电保护器安装点以后的线路不可对地绝缘。,C、漏电保护器在日常使用中不可在通电状态下按动实验按钮来检验其是否灵敏可靠。
2 、易燃类液体的特点是,D,A、闪点在25℃以下的液体，闪点越低，越易燃烧,B、极易挥发成气体,C、遇明火即燃烧,D、以上都是
3 、独立使用电动型起重设备前必须接受操作培训，必须具备熟练掌握( )的能力。,A,A、操作方法和应急处理方法,B、安全教育,C、正常技术状态
4 、下列不属于危险化学品的是,D,A、汽油、易燃液体,B、放射性物品,C、氧化剂、有机过氧化物、剧毒药品和感染性物品,D、氯化钾
5 、安全阀的作用是怎样实现的,A,A、安全阀是通过作用在阀瓣上两个力的平衡来使它开启或关闭，实现防止压力容器超压的问题,B、安全阀是通过爆破片破裂时泄放容器的压力，实现防止压力容器的压力继续上升的问题
6 、下列实验操作中，说法正确的是,C,A、可以对容量瓶、量筒等容器加热,"B、在通风橱操作时, 可将头伸入通风柜内观察",C、非一次性防护手套脱下前必须冲洗干净，而一次性手套时须从后向前把里面翻出来脱下后再扔掉,D、可以抓住塑料瓶子或玻璃瓶子的盖子搬运瓶子
7 、易燃化学试剂存放和使用的注意事项正确是,D,A、要求单独存放于阴凉通风处,B、放在冰箱中时，要使用防爆冰箱,C、远离火源，绝对不能使用明火加热,D、以上都是
8 、铣床对刀时，应保证( ),B,A、刀具静止，工件快速进给,B、刀具旋转，工件慢速手动进给,C、刀具静止，工件慢速进给,D、刀具旋转，工件快速手动进给
9 、实验大楼因出现火情发生浓烟已穿入实验室内时，以下哪种行为是正确的？（ ）,A,A、沿地面匍匐前进，当逃到门口时，不要站立开门。,B、打开实验室门后不用随手关门。
10 、实验室电器设备所引起的火灾，应：,B,A、用水灭火,B、用二氧化碳或干粉灭火器灭火,C、用泡沫灭火器灭火
11 、下列加热热源，化学实验室原则不得使用的是,A,A、明火电炉,B、水浴、蒸汽浴,C、油浴、沙浴、盐浴,D、电热板、电热套
12 、在实验室区域内，可以,C,A、吸烟、烹饪、用膳,B、睡觉过夜和进行娱乐活动,C、做与学习、工作有关的事情
13 、做加热易燃液体实验时（ ）,C,A、可用电炉加热，要有人看管。,B、用电热套加热可不用人看管。,C、用水浴加热要有人看管。
14 、电线接地时，人体距离接地点越近，跨步电压越高；距离越远，跨步电压越低。一般情况下距离接地体多少，跨步电压可看成是零？,B,A、10m 以内,B、20m 以外,C、30m 以外,D、50m 以外
15 、下列哪种物质与乙醇混溶时易发生爆炸,C,A、盐酸,B、乙醚,C、高氯酸,D、丙酮
16 、在火灾逃生方法中，以下不正确的是：,C,A、用湿毛巾捂着嘴巴和鼻子,B、弯着身子快速跑到安全地点,C、躲在床底下，等待消防人员救援,D、马上从最近的消防通道跑到安全地点
17 、三线电缆中的红线代表（ ）。,B,A、零线,B、火线,C、地线
18 、如果工作场所潮湿，为避免触电，使用手持电动工具的人应：,B,A、站在铁板上操作,B、站在绝缘胶板上操作,C、穿防静电鞋操作,D、戴上安全帽
19 、生石灰烧伤应如何处理,C,A、立即用大量水冲洗,B、立即用1%～2%的醋酸冲洗,C、先用卫生纸或干布尽量清除皮肤上的生石灰，再用大量水清洗,D、立即去医院处理
20 、停电检修时，在一经合闸即可送电到工作地点的开关或刀闸的操作把手上，应悬挂如下哪种标示牌?,C,"A、""在此工作”",B、“止步，高压危险”,C、“禁止合闸，有人工作”,D、“今日休息”
21 、对刚浇注完的铸件，应如何进行处理,D,A、浇水加速其冷却,B、用手去摸铸件,C、立即落砂清理出铸件,D、待其冷却一定时间后再进行落砂清理
22 、实验室生物安全防护的内容包括（ ）。,D,A、安全设备、个体防护装置和措施,B、严格的管理制度和标准化的操作程序和规程,C、实验室的特殊设计和建设要求,D、以上都是
23 、雷电放电具有什么特点,A,A、电流大，电压高,B、电流小，电压高,C、电流大，电压低,D、电磁波辐射
24 、扑救易燃液体火灾时，应（ ）。,A,A、用灭火器,B、用水泼,C、扑打
25 、对刚浇注完的铸件，应（　）,D,A、浇水加速其冷却,B、用手去摸铸件,C、立即落砂清理出铸件,D、待其冷却一定时间后再进行落砂清理
26 、实验室、办公室等用电场所如需增加电器设备，以下说法正确的是？,B,A、老师自行改装。,B、须经学校有关部门批准，并由学校指派电工安装。,C、学生可以私自改接。
27 、钠，钾等碱金属须贮存于,C,A、水中,B、酒精中,C、煤油中,D、暴露在空气中
28 、进行危险物质、挥发性有机溶剂、特定化学物质或毒性化学物质等操作实验或研究，说法错误的是：,D,A、必须戴防护口罩,B、必须戴防护手套,C、必须戴防护眼镜,D、无所谓
29 、当打开房门闻到燃气气味时，要迅速()，以防止引起火灾。,B,A、打开燃气灶具查找漏气部位,B、打开门窗通风
30 、实验中溅入口中已下咽的强碱，先饮用大量水，再服用（　）。,B,A、氢氧化铝溶液，鸡蛋白,B、乙酸果汁，鸡蛋白,C、硫酸铜溶液（30g溶于一杯水中）催吐
31 、风洞实验室校准热线探头的高速气流是（ ）。,B,A、氮气,B、空气,C、氧气,D、二氧化碳
32 、在钻床上钻削小工件时，是否可以直接用手拿,B,A、可以,B、不可以,C、方便拿时可以,D、不方便拿时不可以
33 、用过的废洗液应（ ）。,B,A、可直接倒入下水道,B、作为废液交相关部门统一处理,C、可以用来洗厕所
34 、实验室内的汞蒸气会造成人员慢性中毒，为了减少汞液面的蒸发，可在汞液面上覆盖什么液体，效果最好,B,A、水液体,B、甘油,C、5%硫酸钠
35 、下列灭火方法中，对电器着火不适用的是哪种?,C,A、用四氯化碳或1211灭火器进行灭火。,B、用沙土灭火。,C、用水灭火。
"36 、被火困在室内,如何逃生？（ ）",B,A、跳楼。,B、到窗口或阳台挥动物品求救、用床单或绳子拴在室内牢固处下到下一层逃生。,"C、躲到床下,等待救援。","D、打开门,冲出去。"
37 、在实验中，以下哪种做法是错误的？,A,A、一旦浓硫酸落在人体身上时，用4.5%乙酸或1.5%左右的盐酸中和洗涤。,B、一旦浓硫酸落在人体身上时，以弱碱（2%碳酸钠）或肥皂液中和洗涤。,C、一旦碱液落在皮肤上时，用4.5%乙酸或1.5%左右的盐酸中和洗涤。
38 、在室外灭火时，应站在（ ）。,A,A、上风,B、下风
39 、使用碱金属引起燃烧应如何处理,C,A、马上使用灭火器灭火,B、马上向燃烧处浇水灭火,C、马上用石棉布盖砂子盖住燃烧处，尽快移去临近其它溶剂，关闭热源和电源，再用灭火器灭火,D、以上都对
40 、长期在高频电磁场作用下，操作者会有（　）的不良反应。,C,A、呼吸困难,B、神经失常,C、疲劳无力
41 、火灾发生时，湿毛巾折叠8层为宜，其烟雾浓度消除率可达（ ）。,B,A、0.4,B、0.6,C、0.8,D、0.95
42 、在供电中，万一发生电击（触电）事故为了保证不至于对人体产生致命危险，引入了安全电压这一概念。工业中使用的安全电压是（　）。,B,A、25V,B、36V,C、50V
43 、烟头的中心温度大概是（）度。,C,A、200—300oC,B、400—500oC,C、700—800oC,D、900—1000oC
44 、使用高压灭菌器时，以下哪个要求是不必要的？,B,A、灭菌器腔内装载要松散，以便蒸汽作用均匀,B、必须穿防护服和戴手套,C、灭菌器的排水过滤器应经常拆下清洗,D、待温度降至80℃以下时才能打开高压灭菌器
45 、应如何简单辨认有味的化学药品,C,A、用鼻子对着瓶口去辨认气味,B、用舌头品尝试剂,C、将瓶口远离鼻子，用手在瓶口上方扇动，稍闻其味即可,D、取出一点，用鼻子对着闻
46 、以下哪项不是呼吸、心跳停止的表现?,D,A、意识忽然丧失。,B、颈动脉搏动不能触及。,C、面色苍白转而紫绀。,D、瞳孔缩小。
47 、干粉灭火器适用于：,D,A、电器起火,B、可燃气体起火,C、有机溶剂起火,D、以上都是
48 、开启冻干物质安瓿瓶时，由于压力降低其部分冻干物可能会溅出，应在什么设施内进行操作？,C,A、实验台上,B、无菌室内,C、生物安全柜内,D、超净工作台内
49 、实验室安全管理实行哪种管理,A,A、校、（院）系、实验室三级管理,B、校、（院）系两级管理,C、院（系）、实验室两级管理,D、实验事自行管理
50 、漏电保护器对下例哪种情况不起作用？,C,A、单手碰到带电体,B、人体碰到带电设备,C、双手碰到两相电线（此时人体作为负载，已触电）。,D、人体碰到漏电机壳。
51 、安装细长工件应配合采用（　），防止工件弯曲伤人,B,A、跟刀架,B、尾架,C、中心架
"52 、有异物刺人头部或胸部时,以下哪种急救方法是错误的?",C,A、快速送往医院救治。,"B、用毛巾等物将异物固定住,不让其乱动。","C、马上拔出,进行止血"
53 、我国气体钢瓶常用的颜色标记中，氮气的瓶身和标字颜色分别为（ ）。,C,A、黑 蓝,B、黄 黑,C、黑 黄,D、蓝 黑
54 、为了安全，须贮存于煤油中的金属是,A,A、钠,B、铝,C、铁,D、钙
55 、以下对放射性垃圾的安全管理不正确的是（ ）。,A,A、允许非放射性垃圾混入放射性垃圾,B、将放射性垃圾放入专用容器收集、包装、储存，由专业部门统一回收处理,C、严禁放射性垃圾放入非放射性垃圾,D、放射性垃圾和非放射性垃圾必须分开放置
56 、混和时不会生成高敏感、不稳定或者具有爆炸性物质的是,A,A、醚和醇类,B、烯烃和空气,C、氯酸盐和铵盐,D、亚硝酸盐和铵盐
57 、生物实验中的一次性手套及沾染EB致癌物质的物品，应（　）。,B,A、丢弃在普通垃圾箱内,B、统一收集和处理,C、随意放在实验室
58 、箱式电阻炉的加热元件及其电源连接点需保持良好的绝缘性能，保管者应进行定期检查，以免发生（　）,A,A、设备安全事故,B、人身烫伤事故,C、火灾
59 、在铣削中清理切屑时，应使用（　）,B,A、手,B、毛刷,C、棉丝,D、吹气
